Lote,Plaga,Larvas,E. Plagas,X,Y,Z
B26a,Opsiphanes cassina,0,EP18B26a,-90.43114004,16.243379,125.402191
B26a,Opsiphanes cassina,0,EP19B26a,-90.43196004,16.24382098,124.742439
B26a,Opsiphanes cassina,0,EP20B26a,-90.43278499,16.24431199,123.29464
B26a,Opsiphanes cassina,0,EP21B26a,-90.43110701,16.24419096,132.338623
B26a,Opsiphanes cassina,0,EP22B26a,-90.43183498,16.24467904,123.815903
B26a,Opsiphanes cassina,0,EP23B26a,-90.43112101,16.24521296,135.230179
B26a,Opsiphanes cassina,0,EP24B26a,-90.43200899,16.245708,136.422516
B26a,Opsiphanes cassina,0,EP25B26a,-90.43113098,16.24614897,136.120895
B26a,Opsiphanes cassina,0,EP26B26a,-90.42946198,16.24604101,136.848373
B26a,Opsiphanes cassina,0,EP27B26a,-90.43030797,16.24661199,135.221542
B26a,Opsiphanes cassina,0,EP28B26a,-90.43270804,16.24526401,139.358673
B26a,Opsiphanes cassina,0,EP29B26a,-90.43356098,16.24477199,138.504074
B26a,Opsiphanes cassina,0,EP30B26a,-90.43423397,16.24424703,140.809845
B26a,Opsiphanes cassina,0,EP31B26a,-90.43355998,16.24383599,141.68956
B26a,Opsiphanes cassina,0,EP32B26a,-90.43438903,16.24339099,142.110275
B26a,Opsiphanes cassina,0,EP33B26a,-90.43515799,16.24296402,141.648041
B26a,Opsiphanes cassina,0,EP34B26a,-90.43522898,16.24384697,141.966339
B26a,Opsiphanes cassina,0,EP35B26a,-90.43522303,16.24476101,142.674423
B38a,Opsiphanes cassina,0,EP1B38a,-90.43055004,16.21113701,98.09198
B38a,Opsiphanes cassina,0,EP2B38a,-90.43054501,16.21196598,108.017883
B38a,Opsiphanes cassina,0,EP3B38a,-90.43137196,16.21152702,119.893707
B38a,Opsiphanes cassina,0,EP4B38a,-90.43138202,16.212445,122.835693
B38a,Opsiphanes cassina,0,EP5B38a,-90.43224603,16.21214803,125.014999
B38a,Opsiphanes cassina,0,EP6B38a,-90.43299696,16.21150103,125.736183
B38a,Opsiphanes cassina,0,EP7B38a,-90.43305497,16.21242397,128.035278
B38a,Opsiphanes cassina,0,EP8B38a,-90.43386198,16.21196397,130.299026
B38a,Opsiphanes cassina,0,EP9B38a,-90.43389098,16.21289997,130.005768
B38a,Opsiphanes cassina,0,EP10B38a,-90.4347,16.21153004,131.386749
B38a,Opsiphanes cassina,0,EP11B38a,-90.43470997,16.212502,134.114395
B38a,Opsiphanes cassina,0,EP12B38a,-90.43551204,16.21198802,134.075882
B38a,Opsiphanes cassina,0,EP13B38a,-90.43552604,16.21290299,135.868042
B38a,Opsiphanes cassina,0,EP14B38a,-90.43638702,16.21152903,140.000427
B38a,Opsiphanes cassina,0,EP15B38a,-90.43635802,16.21242698,138.058167
B38a,Opsiphanes cassina,0,EP16B38a,-90.43719999,16.21299,139.933319
B38a,Opsiphanes cassina,0,EP17B38a,-90.43799099,16.21334698,140.056229
B38a,Opsiphanes cassina,0,EP18B38a,-90.43634201,16.21060199,134.18457
B38a,Opsiphanes cassina,0,EP19B38a,-90.43637001,16.20967797,133.936844
B38a,Opsiphanes cassina,0,EP20B38a,-90.43551204,16.21105202,130.313904
B38a,Opsiphanes cassina,0,EP21B38a,-90.43551799,16.21005901,129.899368
B38a,Opsiphanes cassina,0,EP22B38a,-90.43468902,16.21056402,125.637253
B38a,Opsiphanes cassina,0,EP23B38a,-90.43467703,16.20966297,125.969078
B38a,Opsiphanes cassina,0,EP24B38a,-90.43387497,16.21105604,127.682938
B38a,Opsiphanes cassina,0,EP25B38a,-90.43387698,16.21013302,128.947784
B38a,Opsiphanes cassina,0,EP26B38a,-90.43304298,16.21053996,126.68322
B38a,Opsiphanes cassina,0,EP27B38a,-90.433046,16.20960999,126.953125
B38a,Opsiphanes cassina,0,EP28B38a,-90.43220798,16.21107196,125.77282
B38a,Opsiphanes cassina,0,EP29B38a,-90.43221502,16.21014501,125.817337
B38a,Opsiphanes cassina,0,EP30B38a,-90.43222097,16.20921596,126.341454
B38a,Opsiphanes cassina,0,EP31B38a,-90.43138596,16.21062504,125.56218
B38a,Opsiphanes cassina,0,EP32B38a,-90.43136702,16.20967898,123.791641
B38a,Opsiphanes cassina,0,EP33B38a,-90.43053201,16.20923297,125.617668
B39b1,Opsiphanes cassina,0,EP1B39b1,-90.42983003,16.210791,124.596405
B39b1,Opsiphanes cassina,0,EP2B39b1,-90.42978401,16.21175702,123.644455
B39b1,Opsiphanes cassina,0,EP3B39b1,-90.42932804,16.21121102,123.309219
B39b10,Opsiphanes cassina,0,EP1B39b10,-90.42812498,16.20694203,122.594284
B39b10,Opsiphanes cassina,0,EP2B39b10,-90.42803303,16.20773898,125.120499
B39b10,Opsiphanes cassina,0,EP3B39b10,-90.42765501,16.20731402,126.454277
B39b11,Opsiphanes cassina,0,EP1B39b11,-90.427121,16.20684899,126.330338
B39b11,Opsiphanes cassina,0,EP2B39b11,-90.42705604,16.20752097,127.061256
B39b11,Opsiphanes cassina,0,EP3B39b11,-90.42667399,16.20716298,124.785751
B39b2,Opsiphanes cassina,0,EP1B39b2,-90.42881297,16.21061599,121.020287
B39b2,Opsiphanes cassina,0,EP2B39b2,-90.42870099,16.211611,123.961639
B39b2,Opsiphanes cassina,0,EP3B39b2,-90.42833797,16.21109501,125.203712
B39b3,Opsiphanes cassina,0,EP1B39b3,-90.42779901,16.210574,124.460503
B39b3,Opsiphanes cassina,0,EP2B39b3,-90.42771704,16.21154102,125.515991
B39b3,Opsiphanes cassina,0,EP3B39b3,-90.42732099,16.211021,125.966797
B39b4,Opsiphanes cassina,0,EP1B39b4,-90.43003203,16.208719,128.624893
B39b4,Opsiphanes cassina,0,EP2B39b4,-90.42995802,16.20965802,128.54129
B39b4,Opsiphanes cassina,0,EP3B39b4,-90.42960204,16.209137,126.681114
B39b5,Opsiphanes cassina,0,EP1B39b5,-90.42901003,16.20874196,136.447876
B39b5,Opsiphanes cassina,0,EP2B39b5,-90.42891003,16.20950799,135.562241
B39b5,Opsiphanes cassina,0,EP3B39b5,-90.42855003,16.20901303,138.201508
B39b6,Opsiphanes cassina,0,EP1B39b6,-90.42800998,16.20857399,137.554932
B39b6,Opsiphanes cassina,0,EP2B39b6,-90.42793396,16.20945401,134.657806
B39b6,Opsiphanes cassina,0,EP3B39b6,-90.42756499,16.20897397,129.382187
B39b7,Opsiphanes cassina,0,EP1B39b7,-90.427035,16.20845002,127.762611
B39b7,Opsiphanes cassina,0,EP2B39b7,-90.42692503,16.20932702,126.674805
B39b7,Opsiphanes cassina,0,EP3B39b7,-90.42659,16.20884104,123.728477
B39b8,Opsiphanes cassina,0,EP1B39b8,-90.43015902,16.207095,128.808868
B39b8,Opsiphanes cassina,0,EP2B39b8,-90.43008601,16.207741,129.295609
B39b8,Opsiphanes cassina,0,EP3B39b8,-90.429638,16.20737102,128.393707
B39b9,Opsiphanes cassina,0,EP1B39b9,-90.42911598,16.20699199,125.707626
B39b9,Opsiphanes cassina,0,EP2B39b9,-90.42802298,16.20774896,121.848412
B39b9,Opsiphanes cassina,0,EP3B39b9,-90.42862999,16.20740396,124.726471
B41a,Opsiphanes cassina,0,EP1B41a,-90.43889204,16.20228798,149.397354
B41a,Opsiphanes cassina,0,EP2B41a,-90.43800297,16.20288502,141.731171
B41a,Opsiphanes cassina,0,EP3B41a,-90.43802803,16.20376898,140.386612
B41a,Opsiphanes cassina,0,EP4B41a,-90.43716503,16.20231003,139.344406
B41a,Opsiphanes cassina,0,EP5B41a,-90.43718004,16.20327897,132.84079
B41a,Opsiphanes cassina,0,EP6B41a,-90.43715397,16.20407903,136.036392
B41a,Opsiphanes cassina,0,EP7B41a,-90.43628301,16.20281101,134.51973
B41a,Opsiphanes cassina,0,EP8B41a,-90.43628401,16.20376102,133.472458
B41a,Opsiphanes cassina,0,EP9B41a,-90.435391,16.202406,134.000488
B41a,Opsiphanes cassina,0,EP10B41a,-90.43541003,16.20328601,135.648636
B41a,Opsiphanes cassina,0,EP11B41a,-90.43542797,16.20428002,135.927872
B41a,Opsiphanes cassina,0,EP12B41a,-90.43450998,16.20281403,135.646973
B41a,Opsiphanes cassina,0,EP13B41a,-90.43455097,16.20380502,136.520828
B41a,Opsiphanes cassina,0,EP14B41a,-90.43365503,16.202335,133.856369
B41a,Opsiphanes cassina,0,EP15B41a,-90.43366198,16.20339599,137.780975
B41a,Opsiphanes cassina,0,EP16B41a,-90.43366802,16.20412898,137.883148
B41a,Opsiphanes cassina,0,EP17B41a,-90.43275003,16.20290698,132.808899
B41a,Opsiphanes cassina,0,EP18B41a,-90.43279999,16.20392597,139.094543
B41a,Opsiphanes cassina,0,EP19B41a,-90.43188301,16.20234598,132.577713
B41a,Opsiphanes cassina,0,EP20B41a,-90.43192098,16.20336497,142.149475
B42a,Opsiphanes cassina,0,EP1B42a,-90.43911802,16.19957501,133.403809
B42a,Opsiphanes cassina,0,EP2B42a,-90.43912799,16.20056902,132.766068
B42a,Opsiphanes cassina,0,EP3B42a,-90.43912699,16.20154602,130.378799
B42a,Opsiphanes cassina,0,EP4B42a,-90.43825904,16.20007097,130.716049
B42a,Opsiphanes cassina,0,EP5B42a,-90.43824797,16.20104997,132.032349
B42a,Opsiphanes cassina,0,EP6B42a,-90.437347,16.19958901,132.333282
B42a,Opsiphanes cassina,0,EP7B42a,-90.43735899,16.20055896,130.851257
B42a,Opsiphanes cassina,0,EP8B42a,-90.43735103,16.20146697,131.978088
B42a,Opsiphanes cassina,0,EP9B42a,-90.43647797,16.20008304,131.294617
B42a,Opsiphanes cassina,0,EP10B42a,-90.43648903,16.20106498,131.261307
B42a,Opsiphanes cassina,0,EP11B42a,-90.43561899,16.19968699,135.862854
B42a,Opsiphanes cassina,0,EP12B42a,-90.43559703,16.20059098,139.742218
